timestamp,source,metric,value,status,error
2026-06-01T14:00:00Z,youtube,subscribers,49600,mock,
2026-06-08T14:00:00Z,youtube,subscribers,50000,mock,
2026-06-01T14:00:00Z,youtube,views_28d,412050,mock,
2026-06-08T14:00:00Z,youtube,views_28d,436900,mock,
2026-06-01T14:00:00Z,instagram,followers,232800,mock,
2026-06-08T14:00:00Z,instagram,followers,234000,mock,
2026-06-01T14:00:00Z,tiktok,followers,3120,mock,
2026-06-08T14:00:00Z,tiktok,followers,3344,mock,
2026-06-01T14:00:00Z,claude_code,tokens_5h,184000,mock,
2026-06-08T14:00:00Z,claude_code,tokens_5h,512000,mock,
2026-08-11T14:00:00Z,stripe,mrr,22480,mock,
2026-08-12T14:00:00Z,stripe,mrr,22690,mock,
2026-08-13T14:00:00Z,stripe,mrr,22910,mock,
2026-08-14T14:00:00Z,stripe,mrr,23180,mock,
2026-08-15T14:00:00Z,stripe,mrr,23400,mock,
2026-08-16T14:00:00Z,stripe,mrr,23610,mock,
2026-08-17T14:00:00Z,stripe,mrr,23840,mock,
2026-08-18T14:00:00Z,stripe,mrr,24056,mock,
